Participant,D1_H_Q1,D1_H_Q2,D1_H_Q3,D1_H_Q4,D1_H_Q5,D1_H_Q6,D1_L_Q1,D1_L_Q2,D1_L_Q3,D1_L_Q4,D1_L_Q5,D1_L_Q6,D2_H_Q1,D2_H_Q2,D2_H_Q3,D2_H_Q4,D2_H_Q5,D2_H_Q6,D2_L_Q1,D2_L_Q2,D2_L_Q3,D2_L_Q4,D2_L_Q5,D2_L_Q6,D3_H_Q1,D3_H_Q2,D3_H_Q3,D3_H_Q4,D3_H_Q5,D3_H_Q6,D3_L_Q1,D3_L_Q2,D3_L_Q3,D3_L_Q4,D3_L_Q5,D3_L_Q6
1,4,4,3,4,2,3,2,2,1,1,1,1,4,4,4,4,3,4,3,2,3,2,1,1,4,4,4,4,4,5,3,2,2,2,2,3
2,5,4,4,4,3,4,4,4,NA,4,2,3,5,5,4,5,4,3,2,2,2,3,2,3,5,4,4,4,5,4,2,3,3,3,2,4
3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
4,5,4,5,4,4,4,4,2,3,3,2,3,5,4,4,3,4,4,3,3,3,3,3,3,4,4,3,3,4,3,2,2,2,2,3,2
5,4,3,4,3,4,3,2,1,3,1,2,3,4,4,4,5,5,4,2,1,2,2,2,2,4,4,4,4,4,4,4,2,2,2,1,3
6,4,3,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,2,4,4,2,2,2,2,2,2
7,4,4,4,5,5,4,2,3,2,2,2,2,4,4,4,3,4,4,2,2,2,2,3,2,4,4,4,5,5,5,2,2,2,3,2,2
8,5,4,4,4,5,4,2,2,3,3,4,2,5,4,4,3,4,3,4,2,3,3,2,3,4,4,3,4,5,3,3,2,2,2,4,3
9,3,3,3,2,1,4,2,3,2,2,2,3,4,2,2,2,2,2,4,3,4,4,4,2,4,4,4,3,2,2,2,1,2,1,1,2
10,4,4,4,2,3,1,1,1,1,1,1,1,2,2,3,1,1,4,1,1,1,1,1,3,4,4,4,1,3,3,1,1,1,1,1,1
11,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,4
12,4,3,3,4,4,2,3,3,4,3,4,4,4,3,4,3,4,3,3,2,2,2,4,3,4,3,4,3,4,4,2,3,2,2,3,3
13,4,NA,NA,2,3,3,3,2,3,2,1,2,4,3,4,2,3,2,2,2,2,1,2,2,4,3,4,2,3,3,2,1,2,1,2,2
14,4,3,2,2,2,3,3,2,2,2,2,2,4,5,4,4,4,4,2,2,1,2,2,1,4,5,5,5,4,4,2,1,1,2,2,2
15,4,4,3,4,4,5,4,3,2,3,3,3,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,5,3,3,3,3,3,3
16,4,4,4,3,2,4,3,3,2,2,2,2,4,4,4,2,2,4,2,2,2,1,1,2,4,2,4,2,2,4,2,1,1,1,1,2
17,3,2,2,2,3,2,1,1,1,1,1,1,4,2,3,2,3,2,1,1,1,1,1,1,4,2,3,2,3,3,1,1,1,1,1,1
18,4,3,3,4,5,4,5,2,3,1,3,2,3,5,5,5,4,5,4,1,1,1,3,1,4,4,4,3,3,4,5,2,2,2,3,1
19,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,4,5,4,4,4,4,4,4,5,5,5,5,4,5,4,4,4,4,4,4
20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,4,4
21,5,4,4,4,3,4,2,2,1,1,1,1,4,4,4,4,4,5,2,1,1,1,1,3,5,4,5,4,5,5,1,1,1,1,1,2
22,4,4,4,2,2,4,2,2,2,2,2,4,4,4,3,2,1,4,2,2,2,1,1,3,4,4,4,4,4,4,2,2,2,2,2,2
23,4,3,4,2,4,4,3,2,2,2,3,4,2,2,2,2,2,3,2,2,2,1,3,3,3,1,2,2,1,3,3,1,2,1,2,3
24,5,4,4,4,4,4,1,2,1,2,1,3,4,4,4,3,4,4,1,1,1,1,1,1,5,4,4,4,4,4,2,1,1,1,1,1
26,4,4,5,2,2,5,4,2,2,2,2,5,5,4,4,4,4,4,2,2,2,2,4,4,5,4,4,4,4,4,2,2,2,2,4,4
27,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
28,4,4,4,4,3,4,4,3,3,3,2,3,4,3,4,4,3,4,3,2,3,2,2,3,4,4,4,3,4,4,3,2,3,3,2,3
29,4,4,4,4,3,3,4,3,3,3,3,3,4,3,4,3,4,3,4,3,4,4,3,3,4,3,4,4,4,3,3,3,2,2,2,3
